Species	 | 	Petal Length to Width Ratio	 | 	Sepal Length to Width Ratio	 | 
Iris-setosa	 | 	7.00	 | 	1.46	 | 
Iris-setosa	 | 	7.00	 | 	1.63	 | 
Iris-setosa	 | 	6.50	 | 	1.47	 | 
Iris-setosa	 | 	7.50	 | 	1.48	 | 
Iris-setosa	 | 	7.00	 | 	1.39	 | 
Iris-setosa	 | 	4.25	 | 	1.38	 | 
Iris-setosa	 | 	4.67	 | 	1.35	 | 
Iris-setosa	 | 	7.50	 | 	1.47	 | 
Iris-setosa	 | 	7.00	 | 	1.52	 | 
Iris-setosa	 | 	15.00	 | 	1.58	 | 
Iris-setosa	 | 	7.50	 | 	1.46	 | 
Iris-setosa	 | 	8.00	 | 	1.41	 | 
Iris-setosa	 | 	14.00	 | 	1.60	 | 
Iris-setosa	 | 	11.00	 | 	1.43	 | 
Iris-setosa	 | 	6.00	 | 	1.45	 | 
Iris-setosa	 | 	3.75	 | 	1.30	 | 
Iris-setosa	 | 	3.25	 | 	1.38	 | 
Iris-setosa	 | 	4.67	 | 	1.46	 | 
Iris-setosa	 | 	5.67	 | 	1.50	 | 
Iris-setosa	 | 	5.00	 | 	1.34	 | 
Iris-setosa	 | 	8.50	 | 	1.59	 | 
Iris-setosa	 | 	3.75	 | 	1.38	 | 
Iris-setosa	 | 	5.00	 | 	1.28	 | 
Iris-setosa	 | 	3.40	 | 	1.55	 | 
Iris-setosa	 | 	9.50	 | 	1.41	 | 
Iris-setosa	 | 	8.00	 | 	1.67	 | 
Iris-setosa	 | 	4.00	 | 	1.47	 | 
Iris-setosa	 | 	7.50	 | 	1.49	 | 
Iris-setosa	 | 	7.00	 | 	1.53	 | 
Iris-setosa	 | 	8.00	 | 	1.47	 | 
Iris-setosa	 | 	8.00	 | 	1.55	 | 
Iris-setosa	 | 	3.75	 | 	1.59	 | 
Iris-setosa	 | 	15.00	 | 	1.27	 | 
Iris-setosa	 | 	7.00	 | 	1.31	 | 
Iris-setosa	 | 	15.00	 | 	1.58	 | 
Iris-setosa	 | 	6.00	 | 	1.56	 | 
Iris-setosa	 | 	6.50	 | 	1.57	 | 
Iris-setosa	 | 	15.00	 | 	1.58	 | 
Iris-setosa	 | 	6.50	 | 	1.47	 | 
Iris-setosa	 | 	7.50	 | 	1.50	 | 
Iris-setosa	 | 	4.33	 | 	1.43	 | 
Iris-setosa	 | 	4.33	 | 	1.96	 | 
Iris-setosa	 | 	6.50	 | 	1.38	 | 
Iris-setosa	 | 	2.67	 | 	1.43	 | 
Iris-setosa	 | 	4.75	 | 	1.34	 | 
Iris-setosa	 | 	4.67	 | 	1.60	 | 
Iris-setosa	 | 	8.00	 | 	1.34	 | 
Iris-setosa	 | 	7.00	 | 	1.44	 | 
Iris-setosa	 | 	7.50	 | 	1.43	 | 
Iris-setosa	 | 	7.00	 | 	1.52	 | 
Iris-versicolor	 | 	3.36	 | 	2.19	 | 
Iris-versicolor	 | 	3.00	 | 	2.00	 | 
Iris-versicolor	 | 	3.27	 | 	2.23	 | 
Iris-versicolor	 | 	3.08	 | 	2.39	 | 
Iris-versicolor	 | 	3.07	 | 	2.32	 | 
Iris-versicolor	 | 	3.46	 | 	2.04	 | 
Iris-versicolor	 | 	2.94	 | 	1.91	 | 
Iris-versicolor	 | 	3.30	 | 	2.04	 | 
Iris-versicolor	 | 	3.54	 | 	2.28	 | 
Iris-versicolor	 | 	2.79	 | 	1.93	 | 
Iris-versicolor	 | 	3.50	 | 	2.50	 | 
Iris-versicolor	 | 	2.80	 | 	1.97	 | 
Iris-versicolor	 | 	4.00	 | 	2.73	 | 
Iris-versicolor	 | 	3.36	 | 	2.10	 | 
Iris-versicolor	 | 	2.77	 | 	1.93	 | 
Iris-versicolor	 | 	3.14	 | 	2.16	 | 
Iris-versicolor	 | 	3.00	 | 	1.87	 | 
Iris-versicolor	 | 	4.10	 | 	2.15	 | 
Iris-versicolor	 | 	3.00	 | 	2.82	 | 
Iris-versicolor	 | 	3.55	 | 	2.24	 | 
Iris-versicolor	 | 	2.67	 | 	1.84	 | 
Iris-versicolor	 | 	3.08	 | 	2.18	 | 
Iris-versicolor	 | 	3.27	 | 	2.52	 | 
Iris-versicolor	 | 	3.92	 | 	2.18	 | 
Iris-versicolor	 | 	3.31	 | 	2.21	 | 
Iris-versicolor	 | 	3.14	 | 	2.20	 | 
Iris-versicolor	 | 	3.43	 | 	2.43	 | 
Iris-versicolor	 | 	2.94	 | 	2.23	 | 
Iris-versicolor	 | 	3.00	 | 	2.07	 | 
Iris-versicolor	 | 	3.50	 | 	2.19	 | 
Iris-versicolor	 | 	3.45	 | 	2.29	 | 
Iris-versicolor	 | 	3.70	 | 	2.29	 | 
Iris-versicolor	 | 	3.25	 | 	2.15	 | 
Iris-versicolor	 | 	3.19	 | 	2.22	 | 
Iris-versicolor	 | 	3.00	 | 	1.80	 | 
Iris-versicolor	 | 	2.81	 | 	1.76	 | 
Iris-versicolor	 | 	3.13	 | 	2.16	 | 
Iris-versicolor	 | 	3.38	 | 	2.74	 | 
Iris-versicolor	 | 	3.15	 | 	1.87	 | 
Iris-versicolor	 | 	3.08	 | 	2.20	 | 
Iris-versicolor	 | 	3.67	 | 	2.12	 | 
Iris-versicolor	 | 	3.29	 | 	2.03	 | 
Iris-versicolor	 | 	3.33	 | 	2.23	 | 
Iris-versicolor	 | 	3.30	 | 	2.17	 | 
Iris-versicolor	 | 	3.23	 | 	2.07	 | 
Iris-versicolor	 | 	3.50	 | 	1.90	 | 
Iris-versicolor	 | 	3.23	 | 	1.97	 | 
Iris-versicolor	 | 	3.31	 | 	2.14	 | 
Iris-versicolor	 | 	2.73	 | 	2.04	 | 
Iris-versicolor	 | 	3.15	 | 	2.04	 | 
Iris-virginica	 | 	2.40	 | 	1.91	 | 
Iris-virginica	 | 	2.68	 | 	2.15	 | 
Iris-virginica	 | 	2.81	 | 	2.37	 | 
Iris-virginica	 | 	3.11	 | 	2.17	 | 
Iris-virginica	 | 	2.64	 | 	2.17	 | 
Iris-virginica	 | 	3.14	 | 	2.53	 | 
Iris-virginica	 | 	2.65	 | 	1.96	 | 
Iris-virginica	 | 	3.50	 | 	2.52	 | 
Iris-virginica	 | 	3.22	 | 	2.68	 | 
Iris-virginica	 | 	2.44	 | 	2.00	 | 
Iris-virginica	 | 	2.55	 | 	2.03	 | 
Iris-virginica	 | 	2.79	 | 	2.37	 | 
Iris-virginica	 | 	2.62	 | 	2.27	 | 
Iris-virginica	 | 	2.50	 | 	2.28	 | 
Iris-virginica	 | 	2.12	 | 	2.07	 | 
Iris-virginica	 | 	2.30	 | 	2.00	 | 
Iris-virginica	 | 	3.06	 | 	2.17	 | 
Iris-virginica	 | 	3.05	 | 	2.03	 | 
Iris-virginica	 | 	3.00	 | 	2.96	 | 
Iris-virginica	 | 	3.33	 | 	2.73	 | 
Iris-virginica	 | 	2.48	 | 	2.16	 | 
Iris-virginica	 | 	2.45	 | 	2.00	 | 
Iris-virginica	 | 	3.35	 | 	2.75	 | 
Iris-virginica	 | 	2.72	 | 	2.33	 | 
Iris-virginica	 | 	2.71	 | 	2.03	 | 
Iris-virginica	 | 	3.33	 | 	2.25	 | 
Iris-virginica	 | 	2.67	 | 	2.21	 | 
Iris-virginica	 | 	2.72	 | 	2.03	 | 
Iris-virginica	 | 	2.67	 | 	2.29	 | 
Iris-virginica	 | 	3.62	 | 	2.40	 | 
Iris-virginica	 | 	3.21	 | 	2.64	 | 
Iris-virginica	 | 	3.20	 | 	2.08	 | 
Iris-virginica	 | 	2.55	 | 	2.29	 | 
Iris-virginica	 | 	3.40	 | 	2.25	 | 
Iris-virginica	 | 	4.00	 | 	2.35	 | 
Iris-virginica	 | 	2.65	 | 	2.57	 | 
Iris-virginica	 | 	2.33	 | 	1.85	 | 
Iris-virginica	 | 	3.06	 | 	2.06	 | 
Iris-virginica	 | 	2.67	 | 	2.00	 | 
Iris-virginica	 | 	2.57	 | 	2.23	 | 
Iris-virginica	 | 	2.33	 | 	2.16	 | 
Iris-virginica	 | 	2.22	 | 	2.23	 | 
Iris-virginica	 | 	2.68	 | 	2.15	 | 
Iris-virginica	 | 	2.57	 | 	2.12	 | 
Iris-virginica	 | 	2.28	 | 	2.03	 | 
Iris-virginica	 | 	2.26	 | 	2.23	 | 
Iris-virginica	 | 	2.63	 | 	2.52	 | 
Iris-virginica	 | 	2.60	 | 	2.17	 | 
Iris-virginica	 | 	2.35	 | 	1.82	 | 
Iris-virginica	 | 	2.83	 | 	1.97	 | 
